city,latitude,longitude,name,province
Victoria,28.8117,-96.9739,Wendy's,TX
Orlando,28.552592,-81.464927,Krystal,FL
Lafayette,37.891487,-122.12335,Baja Fresh,CA
Denham Springs,30.528322,-90.956294,Mcdonald's,LA
Bolivar,37.60553,-93.40686,McDonald's,MO
Bolivar,37.596828,-93.403066,Taco Bell,MO
Jefferson City,38.55503,-92.19907,Taco Bell,MO
Jefferson City,38.581753,-92.219515,Taco Bell,MO
Jefferson City,38.58141,-92.24298,Chick-fil-A,MO
Bolivar,37.596372,-93.402919,Burger King,MO
Southport,33.9516,-78.0426,Bojangles' Famous Chicken 'n Biscuits,NC
Quincy,39.93634,-91.35881,Burger King,IL
Rogers,36.32953,-94.12543,Arby's,AR
Springdale,36.167387,-94.143617,Wendy's,AR
Huntsville,36.08869,-93.74247,SUBWAY,AR
Springdale,36.1825,-94.138655,Hardee's,AR
Springdale,36.16732,-94.11799,McDonald's,AR
Springdale,36.17076,-94.13973,Burger King,AR
Keokuk,40.40352,-91.39082,McDonald's,IA
Fort Madison,40.63043,-91.32385,Taco Bell,IA
Joplin,37.079654,-94.477436,Taco Bell,MO
Miami,25.594612,-80.356141,Pollo Tropical,FL
Saint James,38.003166,-91.61875,Burger King,MO
New Orleans,29.956277,-90.217056,McDonald's,LA
Tupelo,34.252985,-88.716015,Wendy's,MS
Tupelo,34.25764,-88.71664,Burger King,MS
Pontotoc,34.257816,-89.018178,Burger King,MS
Franklin,35.915443,-86.833983,Arby's,TN
Pontotoc,34.25054,-89.01787,Domino's Pizza,MS
Tupelo,34.2297,-88.7196,Domino's Pizza,MS
Lucedale,30.733883,-88.4936,Burger King,AL
Biloxi,30.40158,-88.97576,Burger King,AL
Pearl,32.26905,-90.13568,Waffle House,AL
Jackson,32.300625709,-90.258128236,Popeye's Chicken & Biscuits,AL
Jackson,32.328147485,-90.251587368,Popeye's Chicken & Biscuits,AL
Garner,43.10586,-93.607445,Hardee's,IA
Spencer,43.12581,-95.14723,Burger King,IA
Fairfield,41.00652,-91.98436,McDonald's,IA
Fort Dodge,42.50182,-94.15404,Jimmy Johns,IA
Fort Dodge,42.50071,-94.16583,Wendy's,IA
Fort Dodge,42.5011,-94.16261,McDonald's,IA
Dubuque,42.502143,-90.72184,Arby's,IA
Dubuque,42.5121,-90.6552,Wendy's,IA
Memphis,35.099798,-89.848067,Back Yard Burgers,TN
Spirit Lake,43.42173,-95.12424,Burger King,IA
Tifton,31.458252,-83.526697,Krystal,GA
Tifton,31.4575,-83.52582,Arby's,GA
Tifton,31.451335,-83.524973,Bojangles' Famous Chicken 'n Biscuits,GA
Dubuque,42.512515,-90.666233,Hardee's,IA
Dubuque,42.499766,-90.665046,McDonald's,IA
Dubuque,42.49936,-90.69409,Hardee's,IA
Memphis,35.11467,-89.94567,McDonald's,TN
Reidsville,32.0872,-82.1169,McDonald's,GA
Robinsonville,34.819435,-90.315636,Checkers,MS
Cedar Falls,42.51433,-92.44636,McDonald's,IA
Waverly,42.71363,-92.47495,McDonald's,IA
Cedar Falls,42.537782,-92.452172,McDonald's,IA
Southaven,34.963048,-89.991071,Krystal,MS
Memphis,35.14451,-90.0163,Burger King,TN
Memphis,35.020951,-89.849198,Burger King,TN
Memphis,35.06408,-89.9415,Krystal,TN
Memphis,35.068122,-89.944386,Burger King,TN
Memphis,35.13482,-89.99183,Burger King,TN
Ottumwa,41.017663,-92.437886,Arby's,IA
Ottumwa,41.016358,-92.438456,Burger King,IA
Billings,45.78377,-108.58727,Domino's Pizza,MT
Billings,45.81531,-108.4716,Domino's Pizza,MT
Creston,41.051853,-94.367339,McDonald's,IA
Decorah,43.29087,-91.79683,McDonald's,IA
Decorah,43.2915,-91.7971,Integrated Therapy Specialists: Arnold D Larson,IA
Swainsboro,32.584458,-82.321669,McDonald's,GA
Swainsboro,32.5931,-82.3314,KFC,GA
Swainsboro,32.58476,-82.321876,Hardee's,GA
Swainsboro,32.58951,-82.32731,Burger King,GA
Burlington,40.810887,-91.141513,Wendy's,IA
Burlington,40.807291,-91.142192,Arby's,IA
Clinton,41.85268,-90.18691,Jimmy John's,IA
Clinton,41.85137,-90.18702,McDonald's,IA
Clinton,41.852665,-90.186586,Wendy's,IA
Clinton,41.816011,-90.229246,McDonald's,IA
Carroll,42.06454,-94.86163,Jimmy John's,IA
Carroll,42.0715,-94.8767,McDonald's,IA
Carroll,42.065153,-94.843281,Arby's,IA
Carroll,42.07128,-94.87785,Burger King,IA
Storm Lake,42.645464,-95.188684,Hardee's,IA
Storm Lake,42.6453,-95.1881,KFC,IA
Storm Lake,42.655465,-95.20075,Burger King,IA
Mason City,43.147806,-93.236725,Arby's,IA
Mason City,43.147024,-93.19974,Hardee's,IA
Mason City,43.148534,-93.235558,Burger King,IA
Corinth,34.91913,-88.51157,Domino's Pizza,MS
Newton,41.699413,-93.04532,Burger King,IA
Moscow,46.72966,-117.00437,Domino's Pizza,ID
Boone,36.201496,-81.656779,Burger King,NC
Boone,36.21992,-81.68616,Jimmy John's,NC
Boone,36.19887,-81.65861,Jimmy John's,NC
Mountain Home,43.14158,-115.66251,Jack In The Box,ID
Mountain Home,43.136722,-115.665115,Wendy's,ID
Mountain Home,43.1371,-115.66442,McDonald's,ID
Washington,35.555,-77.0592,Waffle House,NC
Sioux Center,43.09082,-96.17456,McDonald's,IA
Twin Falls,42.59206,-114.45867,McDonald's,ID
Twin Falls,42.56322,-114.45229,Pizza Hut,ID
Twin Falls,42.56708,-114.46094,McDonald's,ID
Independence,42.468862,-91.895944,Burger King,IA
Independence,42.46783,-91.91736,McDonald's,IA
Swansboro,34.69101,-77.06811,Quiznos,NC
Blackfoot,43.196641,-112.35846,Arby's,ID
Blackfoot,43.19695,-112.35766,Burger King,ID
Leland,34.2126,-78.0233,Arby's,NC
Taylorville,39.55646,-89.29686,Wendy's,IL
Taylorville,39.555018,-89.297434,Taco Bell,IL
Taylorville,39.5542,-89.297,KFC,IL
Paw Paw,42.211187,-85.890822,Arby's,MI
Wilmington,34.264065,-77.852936,Burger King,NC
Wilmington,34.22091,-77.88306,Burger King,NC
Bourbonnais,41.188,-87.8501,McDonalds,IL
Holly Ridge,34.427555,-77.546369,Hardee's,NC
Carolina Beach,34.0313,-77.89517,McDonald's,NC
Leland,34.233062,-77.996404,Bojangles' Famous Chicken 'n Biscuits,NC
Leland,34.2339,-77.996,KFC,NC
Springfield,39.8167,-89.6428,McDonald's,IL
Osceola,41.025382,-93.796834,Taco Bell,IA
Tipton,41.77486,-91.12799,Subway,IA
Tipton,41.769334,-91.128399,Hardee's,IA
Fort Mill,35.0603,-80.9922,McDonalds,SC
Rigby,43.6813,-111.9088,Wendy's,ID
Idaho Falls,43.472946,-111.985083,Taco Bell,ID
Idaho Falls,43.49399,-111.99958,Jack in the Box,ID
Pocatello,42.86532,-112.44441,Jack in the Box,ID
Pocatello,42.86235,-112.43917,Jimmy John's,ID
Pocatello,42.89864,-112.43338,Subway,ID
Pocatello,42.88932,-112.45208,Arby's,ID
Pocatello,42.891976,-112.451452,Wendy's,ID
Anna,37.462935,-89.22777,Burger King,IL
Anna,37.459786,-89.245351,Hardee's,IL
Anna,37.462324,-89.23027,Taco Bell,IL
Rexburg,43.835842,-111.77808,KFC,ID
Rexburg,43.83563,-111.77808,Wendy's,ID
Rexburg,43.835073,-111.778081,Jack in the Box,ID
Rexburg,43.83369,-111.77853,McDonald's,ID
Rexburg,43.83341,-111.77794,Dairy Queen,ID
Rexburg,43.83616,-111.77758,Arby's,ID
Canton,40.55842,-90.03364,Burger King,IL
Canton,40.563491,-90.035021,Hardee's,IL
Centralia,38.52638,-89.12477,McDonald's,IL
Pontiac,40.87296,-88.66152,Burger King,IL
Pontiac,40.87297,-88.65759,Taco Bell,IL
Carbondale,37.73535,-89.18663,McDonald's,IL
Mount Vernon,38.313427,-88.945891,Burger King,IL
Mount Vernon,38.30087,-88.903,Burger King,IL
Paducah,37.079123,-88.683966,Taco Bell,KY
Ottawa,41.354618,-88.8412,Wendy's,IL
Paducah,37.07607,-88.68939,Wendy's,KY
Rochelle,41.93507,-89.03496,Wendy's,IL
Jacksonville,39.723221,-90.225307,Jimmy John's,IL
Jacksonville,39.72263,-90.24358,Burger King,IL
Macomb,40.45991,-90.64454,Arby's,IL
Danville,40.119324,-87.636202,McDonald's,IL
Danville,40.138555,-87.630379,Hardee's,IL
Danville,40.116181,-87.636225,Long John Silver's,IL
Vincennes,38.65964,-87.50887,Arby's,IN
Decatur,40.834574,-84.937724,Taco Bell,IN
Decatur,40.81476,-84.938277,Arby's,IN
Pittsfield,39.606653,-90.82158,Hardee's,IL
Auburn,41.366782,-85.065641,Penguin Point,IN
Kendallville,41.452697,-85.273445,Arby's,IN
Kendallville,41.452288,-85.267806,Wendy's,IN
Kendallville,41.45062,-85.24563,Burger King,IN
Kendallville,41.452289,-85.268745,McDonald's,IN
Ligonier,41.412,-85.5717,KFC,IN
Columbia City,41.169649,-85.493215,Taco Bell,IN
Litchfield,39.17805,-89.67558,KFC,IL
Scottsburg,38.6854,-85.7915,Wendy's,IN
Litchfield,39.178908,-89.667812,Wendy's,IL
Litchfield,39.17838,-89.66894,McDonald's,IL
Litchfield,39.179074,-89.66839,Taco Bell,IL
Litchfield,39.175855,-89.675151,Jack In The Box,IL
Litchfield,39.17591,-89.675037,Burger King,IL
Marshall,39.41753,-87.69207,Burger King,IL
West Lafayette,40.45299,-86.92139,Burger King,IN
Bedford,38.860945,-86.517296,Wendy's,IN
Bedford,38.84594,-86.51478,Arby's,IN
Angola,41.65625,-84.99869,Burger King,IN
Bedford,38.86139,-86.50716,Burger King,IN
West Lafayette,40.45282,-86.91764,McDonald's,IN
West Lafayette,40.422445,-86.905196,McDonald's,IN
Decatur,40.832525,-84.937673,Wendy's,IN
Decatur,40.832543,-84.937674,McDonald's,IN
Decatur,40.831361,-84.937642,Burger King,IN
Auburn,41.366735,-85.069754,Wendy's,IN
Auburn,41.36617,-85.078917,Arby's,IN
Auburn,41.367208,-85.07851,Taco Bell,IN
Auburn,41.36617,-85.07562,Burger King,IN
Greensburg,39.35524,-85.48443,Wendy's,IN
Greensburg,39.35504,-85.4791,Arby's,IN
Greensburg,39.354294,-85.479835,McDonald's,IN
Marion,40.56957,-85.6764,Arby's,IN
Greensburg,39.35539,-85.48033,Taco Bell,IN
Greensburg,39.35639,-85.48142,Burger King,IN
Muncie,40.219001,-85.385252,Wendy's,IN
Muncie,40.21857,-85.40705,Taco Bell,IN
Muncie,40.21853,-85.430862,McDonald's,IN
Muncie,40.18924,-85.4195,KFC,IN
Muncie,40.2184,-85.39187,Chick-fil-A,IN
Elkhart,41.649018,-85.93835,Burger King,IN
South Bend,41.68069,-86.250378,McDonald's,IN
Dowagiac,41.984592,-86.12269,McDonald's,MI
New Castle,39.9171,-85.384,KFC,IN
Knightstown,39.842311,-85.558075,Burger King,IN
Sparta,38.140063,-89.702961,Taco Bell,IL
Washington,38.65292,-87.1564,Taco Bell,IN
Washington,38.652427,-87.173223,Wendy's,IN
Washington,38.6525,-87.159,KFC,IN
New Castle,39.9293,-85.3822,Hardee's,IN
Hartford City,40.46702,-85.36996,KFC,IN
Hartford City,40.474987,-85.370014,McDonald's,IN
Hartford City,40.46784,-85.37071,Burger King,IN
Jasper,38.39,-86.94046,McDonald's,IN
Jasper,38.388536,-86.94134,Hardee's,IN
Jasper,38.429209,-86.937962,McDonald's,IN
Jasper,38.42206,-86.93746,Taco Bell,IN
Jasper,38.4243,-86.9384,Arby's,IN
Jasper,38.421469,-86.937959,Wendy's,IN
Huntingburg,38.30632,-86.955407,Wendy's,IN
Knox,41.285035,-86.621124,Taco Bell,IN
Knox,41.28997,-86.620692,Burger King,IN
Knox,41.283913,-86.620656,McDonald's,IN
Kokomo,40.440727,-86.125661,McDonald's,IN
Huntington,40.899199,-85.510062,Wendy's,IN
Huntington,40.89996,-85.50649,Arby's,IN
Huntington,40.89861,-85.512132,Taco Bell,IN
Huntington,40.8993,-85.5128,KFC,IN
Richmond,39.82504,-84.92668,SUBWAY,IN
Richmond,39.829752,-84.878772,McDonald's,IN
Richmond,39.832972,-84.823831,McDonald's,IN
Madison,38.77471,-85.402911,McDonald's,IN
Madison,38.775923,-85.386949,Taco Bell,IN
Madison,38.77444,-85.39452,KFC,IN
Madison,38.771439,-85.414048,Arby's,IN
Terre Haute,39.507388,-87.386481,McDonald's,IN
Columbus,39.21091,-85.87885,Chick-Fil-A,IN
Michigan City,41.70429,-86.894904,Rally's,IN
Michigan City,41.708991,-86.870692,McDonald's,IN
Michigan City,41.67418,-86.89441,KFC,IN
Vandalia,38.97776,-89.09886,Burger King,IL
Vandalia,38.9773,-89.1008,Wendy's,IL
Vandalia,38.969,-89.1294,KFC,IL
Vandalia,38.97671,-89.10115,McDonald's,IL
North Vernon,39.015661,-85.639238,Arby's,IN
Owensboro,37.74894,-87.11394,McDonalds,KY
Owensboro,37.725335,-87.124052,Arby's,KY
Norristown,40.14046,-75.31142,Arby's,PA
O Fallon,38.750336,-90.739075,Subway,MO
O Fallon,38.760892,-90.700771,Subway,MO
O Fallon,38.80078,-90.73469,Wendy's,MO
Chesterfield,38.66727,-90.61713,McDonald's,MO
Chesterfield,38.66228,-90.61835,Goodcents Deli Fresh Subs,MO
Saint Charles,38.789722,-90.56517,Wendy's,MO
Saint Charles,38.73953,-90.63443,McDonald's,MO
Lake Saint Louis,38.76755,-90.78449,SONIC Drive In,MO
Roanoke,33.002341,-97.220698,Whataburger,TX
Saint Paul,45.015375,-92.987484,SUBWAY,MN
Bessemer,33.336959,-86.922153,McDonald's,AL
Farmington,44.640165,-93.145004,SUBWAY,MN
Waynesboro,39.754377,-77.575475,McDonald's,PA
